name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
TCS,3.3,1.2L,IT Services & Consulting,Bengaluru,10.4L,11.4k,5.1k,10.9k
Accenture,3.7,75.6k,IT Services & Consulting,Bengaluru,7.2L,9.5k,19.7k,6.9k
Wipro,3.6,66.7k,IT Services & Consulting,Hyderabad,4.9L,7k,182,4.9k
Cognizant,3.7,63k,IT Services & Consulting,Hyderabad,6.1L,6.6k,906,5.6k
Capgemini,3.6,55.1k,IT Services & Consulting,Bengaluru,5L,5.7k,2.1k,3.8k
HDFC Bank,3.8,54.3k,Banking,Mumbai,1.5L,3.2k,373,3.3k
Infosys,3.5,50.2k,IT Services & Consulting,Bengaluru,5.3L,8.6k,3.1k,4.9k
HCLTech,3.4,47.3k,IT Services & Consulting,Chennai,4L,4.6k,287,3.9k
ICICI Bank,3.9,46.9k,Banking,Mumbai,1.6L,3k,18,3.7k
Tech Mahindra,3.3,44.5k,IT Services & Consulting,Hyderabad,2.9L,4.7k,620,3.5k
Genpact,3.6,43.7k,Analytics & KPO,Hyderabad,2.4L,4k,486,3.6k
TP,3.9,39.9k,BPO,Mumbai,1L,2.3k,1.7k,1.9k
Axis Bank,3.6,34.4k,Banking,Mumbai,1L,2k,201,2.2k
Jio,4.4,34.2k,Telecom,Mumbai,61.1k,4.5k,--,2.5k
Concentrix Corporation,3.5,33.1k,BPO,Bengaluru,1.3L,2k,10,3.2k
Amazon,3.9,32.6k,Internet,Bengaluru,1.6L,6.1k,76,3.4k
Reliance Retail,3.9,27.9k,Retail,Mumbai,74.6k,2k,90,1.9k
iEnergizer,4.5,27.7k,BPO,Noida,25.2k,1.7k,64,804
LTM Limited,3.6,27.3k,IT Services & Consulting,Bengaluru,2L,3.5k,792,863
HDB Financial Services,3.9,26.4k,NBFC,Mumbai,49.3k,1.1k,2,1.4k
IBM,3.9,26.4k,IT Services & Consulting,Bengaluru,2.2L,2.7k,318,2.6k
Larsen & Toubro Limited,3.9,24.6k,Engineering & Construction,Mumbai,77k,1.9k,288,2.6k
Deloitte,3.6,24.1k,Management Consulting,Hyderabad,2.8L,3.4k,467,2.5k
Kotak Mahindra Bank,3.6,23.2k,Banking,Mumbai,88.2k,1.4k,203,1.3k
Reliance Industries,4.0,20.8k,Oil & Gas,Jamnagar,75.6k,1.7k,107,1.9k
Vodafone Idea,3.9,17.9k,Telecom,Pune,48.7k,715,74,2k
Bharti Airtel,3.8,17.5k,Telecom,Gurugram,50.3k,1.1k,162,1.6k
BYJU'S,3.2,16.4k,EdTech,Bengaluru,50k,2.1k,5,1.7k
WNS,3.3,15.7k,IT Services & Consulting,Pune,71.7k,1.3k,56,1.4k
IDFC FIRST Bank,4.0,15.6k,Banking,Mumbai,51.5k,1k,37,803
Ernst & Young,3.4,15.1k,Management Consulting,Bengaluru,1.5L,1.4k,3.2k,1.1k
IndusInd Bank,3.4,14.7k,Banking,Mumbai,52.8k,791,196,811
AU Small Finance Bank,3.8,14.6k,Banking,Jaipur,30.7k,725,162,611
Tata Motors,4.1,14.5k,Automobile,Pune,44.2k,1.3k,33,1.7k
Bajaj Finserv,3.9,13.7k,NBFC,Pune,32.4k,819,15,727
Muthoot FinCorp,4.5,13.4k,NBFC,Bengaluru,9.7k,2.4k,57,312
Flipkart,3.9,13.4k,Internet,Bengaluru,56.9k,1.8k,151,1.4k
PwC,3.3,13.2k,Management Consulting,Bengaluru,1.3L,1.6k,1.3k,869
Mahindra & Mahindra,4.0,12.5k,Automobile,Pune,42.1k,913,2,1.2k
HDFC Life,3.8,12.5k,Insurance,Mumbai,33.9k,841,145,644
Infosys BPM,3.5,12.4k,BPO,Bengaluru,78.4k,1.1k,31,1.2k
DXC Technology,3.6,12.3k,IT Services & Consulting,Bengaluru,75k,912,69,1.1k
Bandhan Bank,3.6,11.7k,Banking,Kolkata,27.9k,784,--,568
Digitide Solutions,3.4,10.6k,IT Services & Consulting,Hyderabad,27.3k,597,336,779
Yes Bank,3.7,10.5k,Banking,Mumbai,43.8k,581,196,628
Mphasis,3.3,10.5k,IT Services & Consulting,Bengaluru,75.5k,954,31,873
Tata Steel,4.0,10.2k,Iron & Steel,Jamshedpur,34.8k,1.1k,--,684
Quess,3.8,10.1k,Recruitment,Bengaluru,31.8k,554,29,448
Asian Paints,3.9,9.9k,Chemicals,Mumbai,26.7k,901,63,921
UltraTech Cement,4.1,9.8k,Building Material,Mumbai,25.3k,848,91,663
Startek,3.0,9.8k,BPO,Bengaluru,25.1k,674,261,702
Maruti Suzuki,4.1,9.8k,Automobile,Gurugram,29.6k,827,301,1k
Bajaj Finance,3.9,9.6k,NBFC,Pune,24.1k,468,7.7k,525
Paytm,3.2,9.6k,FinTech,Noida,35.7k,922,1.1k,566
