name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
TCS,3.3,120000.0,IT Services & Consulting,Bengaluru,1040000.0,11400.0,5100.0,10900.0
Accenture,3.7,75600.0,IT Services & Consulting,Bengaluru,720000.0,9500.0,19700.0,6900.0
Wipro,3.6,66700.0,IT Services & Consulting,Hyderabad,490000.00000000006,7000.0,182.0,4900.0
Cognizant,3.7,63000.0,IT Services & Consulting,Hyderabad,610000.0,6600.0,906.0,5600.0
Capgemini,3.6,55100.0,IT Services & Consulting,Bengaluru,500000.0,5700.0,2100.0,3800.0
HDFC Bank,3.8,54300.0,Banking,Mumbai,150000.0,3200.0,373.0,3300.0
Infosys,3.5,50200.0,IT Services & Consulting,Bengaluru,530000.0,8600.0,3100.0,4900.0
HCLTech,3.4,47300.0,IT Services & Consulting,Chennai,400000.0,4600.0,287.0,3900.0
ICICI Bank,3.9,46900.0,Banking,Mumbai,160000.0,3000.0,18.0,3700.0
Tech Mahindra,3.3,44500.0,IT Services & Consulting,Hyderabad,290000.0,4700.0,620.0,3500.0
Genpact,3.6,43700.0,Analytics & KPO,Hyderabad,240000.0,4000.0,486.0,3600.0
TP,3.9,39900.0,BPO,Mumbai,100000.0,2300.0,1700.0,1900.0
Axis Bank,3.6,34400.0,Banking,Mumbai,100000.0,2000.0,201.0,2200.0
Jio,4.4,34200.0,Telecom,Mumbai,61100.0,4500.0,0.0,2500.0
Concentrix Corporation,3.5,33100.0,BPO,Bengaluru,130000.0,2000.0,10.0,3200.0
Amazon,3.9,32600.0,Internet,Bengaluru,160000.0,6100.0,76.0,3400.0
Reliance Retail,3.9,27900.0,Retail,Mumbai,74600.0,2000.0,90.0,1900.0
iEnergizer,4.5,27700.0,BPO,Noida,25200.0,1700.0,64.0,804.0
LTM Limited,3.6,27300.0,IT Services & Consulting,Bengaluru,200000.0,3500.0,792.0,863.0
HDB Financial Services,3.9,26400.0,NBFC,Mumbai,49300.0,1100.0,2.0,1400.0
